id_CNAE;CnaeSecao;CnaeDivisao;CnaeDescricao 
1;A;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
2;A;2;PRODUÇÃO FLORESTAL
3;A;3;PESCA E AQÜICULTURA
4;B;5;EXTRAÇÃO DE CARVÃO MINERAL
5;B;6;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
6;B;7;EXTRAÇÃO DE MINERAIS METÁLICOS
7;B;8;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
8;B;9;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS
9;C;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10;C;11;FABRICAÇÃO DE BEBIDAS
11;C;12;FABRICAÇÃO DE PRODUTOS DO FUMO
12;C;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13;C;14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
14;C;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15;C;16;FABRICAÇÃO DE PRODUTOS DE MADEIRA
16;C;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17;C;18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
18;C;19;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
19;C;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20;C;21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
21;C;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
22;C;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
23;C;24;METALURGIA
24;C;25;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
25;C;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26;C;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27;C;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28;C;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29;C;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30;C;31;FABRICAÇÃO DE MÓVEIS
31;C;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32;C;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33;D;35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
34;E;36;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA
35;E;37;ESGOTO E ATIVIDADES RELACIONADAS
36;E;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
37;E;39;DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS
38;F;41;CONSTRUÇÃO DE EDIFÍCIOS
39;F;42;OBRAS DE INFRA-ESTRUTURA
40;F;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
41;G;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
42;G;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
43;G;47;COMÉRCIO VAREJISTA
44;H;49;TRANSPORTE TERRESTRE
45;H;50;TRANSPORTE AQUAVIÁRIO
46;H;51;TRANSPORTE AÉREO
47;H;52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
48;H;53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA
49;I;55;ALOJAMENTO
50;I;56;ALIMENTAÇÃO
51;J;58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO
52;J;59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA"
53;J;60;ATIVIDADES DE RÁDIO E DE TELEVISÃO
54;J;61;TELECOMUNICAÇÕES
55;J;62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
56;J;63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
57;K;64;ATIVIDADES DE SERVIÇOS FINANCEIROS
58;K;65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
59;K;66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
60;L;68;ATIVIDADES IMOBILIÁRIAS
61;M;69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA
62;M;70;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL
63;M;71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS"
64;M;72;PESQUISA E DESENVOLVIMENTO CIENTÍFICO
65;M;73;PUBLICIDADE E PESQUISA DE MERCADO
66;M;74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
67;M;75;ATIVIDADES VETERINÁRIAS
68;N;77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS
69;N;78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA
70;N;79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS
71;N;80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
72;N;81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
