id_cod_ibge;uf;nome_uf;cod_municipio;nome_municipio
1;11;Rondônia;1100015;Alta Floresta D'Oeste
2;11;Rondônia;1100379;Alto Alegre dos Parecis
3;11;Rondônia;1100403;Alto Paraíso
4;11;Rondônia;1100346;Alvorada D'Oeste
5;11;Rondônia;1100023;Ariquemes
6;11;Rondônia;1100452;Buritis
7;11;Rondônia;1100031;Cabixi
8;11;Rondônia;1100601;Cacaulândia
9;11;Rondônia;1100049;Cacoal
10;11;Rondônia;1100700;Campo Novo de Rondônia
11;11;Rondônia;1100809;Candeias do Jamari
12;11;Rondônia;1100908;Castanheiras
13;11;Rondônia;1100056;Cerejeiras
14;11;Rondônia;1100924;Chupinguaia
15;11;Rondônia;1100064;Colorado do Oeste
16;11;Rondônia;1100072;Corumbiara
17;11;Rondônia;1100080;Costa Marques
18;11;Rondônia;1100940;Cujubim
19;11;Rondônia;1100098;Espigão D'Oeste
20;11;Rondônia;1101005;Governador Jorge Teixeira
21;11;Rondônia;1100106;Guajará-Mirim
22;11;Rondônia;1101104;Itapuã do Oeste
23;11;Rondônia;1100114;Jaru
24;11;Rondônia;1100122;Ji-Paraná
25;11;Rondônia;1100130;Machadinho D'Oeste
26;11;Rondônia;1101203;Ministro Andreazza
27;11;Rondônia;1101302;Mirante da Serra
28;11;Rondônia;1101401;Monte Negro
29;11;Rondônia;1100148;Nova Brasilândia D'Oeste
30;11;Rondônia;1100338;Nova Mamoré
31;11;Rondônia;1101435;Nova União
32;11;Rondônia;1100502;Novo Horizonte do Oeste
33;11;Rondônia;1100155;Ouro Preto do Oeste
34;11;Rondônia;1101450;Parecis
35;11;Rondônia;1100189;Pimenta Bueno
36;11;Rondônia;1101468;Pimenteiras do Oeste
37;11;Rondônia;1100205;Porto Velho
38;11;Rondônia;1100254;Presidente Médici
39;11;Rondônia;1101476;Primavera de Rondônia
40;11;Rondônia;1100262;Rio Crespo
41;11;Rondônia;1100288;Rolim de Moura
42;11;Rondônia;1100296;Santa Luzia D'Oeste
43;11;Rondônia;1101484;São Felipe D'Oeste
44;11;Rondônia;1101492;São Francisco do Guaporé
45;11;Rondônia;1100320;São Miguel do Guaporé
46;11;Rondônia;1101500;Seringueiras
47;11;Rondônia;1101559;Teixeirópolis
48;11;Rondônia;1101609;Theobroma
49;11;Rondônia;1101708;Urupá
50;11;Rondônia;1101757;Vale do Anari
51;11;Rondônia;1101807;Vale do Paraíso
52;11;Rondônia;1100304;Vilhena
53;12;Acre;1200013;Acrelândia
54;12;Acre;1200054;Assis Brasil
55;12;Acre;1200104;Brasiléia
56;12;Acre;1200138;Bujari
57;12;Acre;1200179;Capixaba
58;12;Acre;1200203;Cruzeiro do Sul
59;12;Acre;1200252;Epitaciolândia
60;12;Acre;1200302;Feijó
61;12;Acre;1200328;Jordão
62;12;Acre;1200336;Mâncio Lima
63;12;Acre;1200344;Manoel Urbano
64;12;Acre;1200351;Marechal Thaumaturgo
65;12;Acre;1200385;Plácido de Castro
66;12;Acre;1200807;Porto Acre
67;12;Acre;1200393;Porto Walter
68;12;Acre;1200401;Rio Branco
69;12;Acre;1200427;Rodrigues Alves
70;12;Acre;1200435;Santa Rosa do Purus
71;12;Acre;1200500;Sena Madureira
72;12;Acre;1200450;Senador Guiomard
73;12;Acre;1200609;Tarauacá
74;12;Acre;1200708;Xapuri
75;13;Amazonas;1300029;Alvarães
76;13;Amazonas;1300060;Amaturá
77;13;Amazonas;1300086;Anamã
78;13;Amazonas;1300102;Anori
79;13;Amazonas;1300144;Apuí
80;13;Amazonas;1300201;Atalaia do Norte
81;13;Amazonas;1300300;Autazes
82;13;Amazonas;1300409;Barcelos
83;13;Amazonas;1300508;Barreirinha
84;13;Amazonas;1300607;Benjamin Constant
85;13;Amazonas;1300631;Beruri
86;13;Amazonas;1300680;Boa Vista do Ramos
87;13;Amazonas;1300706;Boca do Acre
88;13;Amazonas;1300805;Borba
89;13;Amazonas;1300839;Caapiranga
90;13;Amazonas;1300904;Canutama
91;13;Amazonas;1301001;Carauari
92;13;Amazonas;1301100;Careiro
93;13;Amazonas;1301159;Careiro da Várzea
94;13;Amazonas;1301209;Coari
95;13;Amazonas;1301308;Codajás
96;13;Amazonas;1301407;Eirunepé
97;13;Amazonas;1301506;Envira
98;13;Amazonas;1301605;Fonte Boa
99;13;Amazonas;1301654;Guajará
100;13;Amazonas;1301704;Humaitá
101;13;Amazonas;1301803;Ipixuna
102;13;Amazonas;1301852;Iranduba
103;13;Amazonas;1301902;Itacoatiara
104;13;Amazonas;1301951;Itamarati
105;13;Amazonas;1302009;Itapiranga
106;13;Amazonas;1302108;Japurá
107;13;Amazonas;1302207;Juruá
108;13;Amazonas;1302306;Jutaí
109;13;Amazonas;1302405;Lábrea
110;13;Amazonas;1302504;Manacapuru
111;13;Amazonas;1302553;Manaquiri
112;13;Amazonas;1302603;Manaus
113;13;Amazonas;1302702;Manicoré
114;13;Amazonas;1302801;Maraã
115;13;Amazonas;1302900;Maués
116;13;Amazonas;1303007;Nhamundá
117;13;Amazonas;1303106;Nova Olinda do Norte
118;13;Amazonas;1303205;Novo Airão
119;13;Amazonas;1303304;Novo Aripuanã
120;13;Amazonas;1303403;Parintins
121;13;Amazonas;1303502;Pauini
122;13;Amazonas;1303536;Presidente Figueiredo
123;13;Amazonas;1303569;Rio Preto da Eva
124;13;Amazonas;1303601;Santa Isabel do Rio Negro
125;13;Amazonas;1303700;Santo Antônio do Içá
126;13;Amazonas;1303809;São Gabriel da Cachoeira
127;13;Amazonas;1303908;São Paulo de Olivença
128;13;Amazonas;1303957;São Sebastião do Uatumã
129;13;Amazonas;1304005;Silves
130;13;Amazonas;1304062;Tabatinga
131;13;Amazonas;1304104;Tapauá
132;13;Amazonas;1304203;Tefé
133;13;Amazonas;1304237;Tonantins
134;13;Amazonas;1304260;Uarini
135;13;Amazonas;1304302;Urucará
136;13;Amazonas;1304401;Urucurituba
137;14;Roraima;1400050;Alto Alegre
138;14;Roraima;1400027;Amajari
139;14;Roraima;1400100;Boa Vista
140;14;Roraima;1400159;Bonfim
141;14;Roraima;1400175;Cantá
142;14;Roraima;1400209;Caracaraí
143;14;Roraima;1400233;Caroebe
144;14;Roraima;1400282;Iracema
145;14;Roraima;1400308;Mucajaí
146;14;Roraima;1400407;Normandia
147;14;Roraima;1400456;Pacaraima
148;14;Roraima;1400472;Rorainópolis
149;14;Roraima;1400506;São João da Baliza
150;14;Roraima;1400605;São Luiz
151;14;Roraima;1400704;Uiramutã
152;15;Pará;1500107;Abaetetuba
153;15;Pará;1500131;Abel Figueiredo
154;15;Pará;1500206;Acará
155;15;Pará;1500305;Afuá
156;15;Pará;1500347;Água Azul do Norte
157;15;Pará;1500404;Alenquer
158;15;Pará;1500503;Almeirim
159;15;Pará;1500602;Altamira
160;15;Pará;1500701;Anajás
161;15;Pará;1500800;Ananindeua
162;15;Pará;1500859;Anapu
163;15;Pará;1500909;Augusto Corrêa
164;15;Pará;1500958;Aurora do Pará
165;15;Pará;1501006;Aveiro
166;15;Pará;1501105;Bagre
167;15;Pará;1501204;Baião
168;15;Pará;1501253;Bannach
169;15;Pará;1501303;Barcarena
170;15;Pará;1501402;Belém
171;15;Pará;1501451;Belterra
172;15;Pará;1501501;Benevides
173;15;Pará;1501576;Bom Jesus do Tocantins
174;15;Pará;1501600;Bonito
175;15;Pará;1501709;Bragança
176;15;Pará;1501725;Brasil Novo
177;15;Pará;1501758;Brejo Grande do Araguaia
178;15;Pará;1501782;Breu Branco
179;15;Pará;1501808;Breves
180;15;Pará;1501907;Bujaru
181;15;Pará;1502004;Cachoeira do Arari
182;15;Pará;1501956;Cachoeira do Piriá
183;15;Pará;1502103;Cametá
184;15;Pará;1502152;Canaã dos Carajás
185;15;Pará;1502202;Capanema
186;15;Pará;1502301;Capitão Poço
187;15;Pará;1502400;Castanhal
188;15;Pará;1502509;Chaves
189;15;Pará;1502608;Colares
190;15;Pará;1502707;Conceição do Araguaia
191;15;Pará;1502756;Concórdia do Pará
192;15;Pará;1502764;Cumaru do Norte
193;15;Pará;1502772;Curionópolis
194;15;Pará;1502806;Curralinho
195;15;Pará;1502855;Curuá
196;15;Pará;1502905;Curuçá
197;15;Pará;1502939;Dom Eliseu
198;15;Pará;1502954;Eldorado do Carajás
199;15;Pará;1503002;Faro
200;15;Pará;1503044;Floresta do Araguaia
201;15;Pará;1503077;Garrafão do Norte
202;15;Pará;1503093;Goianésia do Pará
203;15;Pará;1503101;Gurupá
204;15;Pará;1503200;Igarapé-Açu
205;15;Pará;1503309;Igarapé-Miri
206;15;Pará;1503408;Inhangapi
207;15;Pará;1503457;Ipixuna do Pará
208;15;Pará;1503507;Irituia
209;15;Pará;1503606;Itaituba
210;15;Pará;1503705;Itupiranga
211;15;Pará;1503754;Jacareacanga
212;15;Pará;1503804;Jacundá
213;15;Pará;1503903;Juruti
214;15;Pará;1504000;Limoeiro do Ajuru
215;15;Pará;1504059;Mãe do Rio
216;15;Pará;1504109;Magalhães Barata
217;15;Pará;1504208;Marabá
218;15;Pará;1504307;Maracanã
219;15;Pará;1504406;Marapanim
220;15;Pará;1504422;Marituba
221;15;Pará;1504455;Medicilândia
222;15;Pará;1504505;Melgaço
223;15;Pará;1504604;Mocajuba
224;15;Pará;1504703;Moju
225;15;Pará;1504752;Mojuí dos Campos
226;15;Pará;1504802;Monte Alegre
227;15;Pará;1504901;Muaná
228;15;Pará;1504950;Nova Esperança do Piriá
229;15;Pará;1504976;Nova Ipixuna
230;15;Pará;1505007;Nova Timboteua
231;15;Pará;1505031;Novo Progresso
232;15;Pará;1505064;Novo Repartimento
233;15;Pará;1505106;Óbidos
234;15;Pará;1505205;Oeiras do Pará
235;15;Pará;1505304;Oriximiná
236;15;Pará;1505403;Ourém
237;15;Pará;1505437;Ourilândia do Norte
238;15;Pará;1505486;Pacajá
239;15;Pará;1505494;Palestina do Pará
240;15;Pará;1505502;Paragominas
241;15;Pará;1505536;Parauapebas
242;15;Pará;1505551;Pau D'Arco
243;15;Pará;1505601;Peixe-Boi
244;15;Pará;1505635;Piçarra
245;15;Pará;1505650;Placas
246;15;Pará;1505700;Ponta de Pedras
247;15;Pará;1505809;Portel
248;15;Pará;1505908;Porto de Moz
249;15;Pará;1506005;Prainha
250;15;Pará;1506104;Primavera
251;15;Pará;1506112;Quatipuru
252;15;Pará;1506138;Redenção
253;15;Pará;1506161;Rio Maria
254;15;Pará;1506187;Rondon do Pará
255;15;Pará;1506195;Rurópolis
256;15;Pará;1506203;Salinópolis
257;15;Pará;1506302;Salvaterra
258;15;Pará;1506351;Santa Bárbara do Pará
259;15;Pará;1506401;Santa Cruz do Arari
260;15;Pará;1506500;Santa Izabel do Pará
261;15;Pará;1506559;Santa Luzia do Pará
262;15;Pará;1506583;Santa Maria das Barreiras
263;15;Pará;1506609;Santa Maria do Pará
264;15;Pará;1506708;Santana do Araguaia
265;15;Pará;1506807;Santarém
266;15;Pará;1506906;Santarém Novo
267;15;Pará;1507003;Santo Antônio do Tauá
268;15;Pará;1507102;São Caetano de Odivelas
269;15;Pará;1507151;São Domingos do Araguaia
270;15;Pará;1507201;São Domingos do Capim
271;15;Pará;1507300;São Félix do Xingu
272;15;Pará;1507409;São Francisco do Pará
273;15;Pará;1507458;São Geraldo do Araguaia
274;15;Pará;1507466;São João da Ponta
275;15;Pará;1507474;São João de Pirabas
276;15;Pará;1507508;São João do Araguaia
277;15;Pará;1507607;São Miguel do Guamá
278;15;Pará;1507706;São Sebastião da Boa Vista
279;15;Pará;1507755;Sapucaia
280;15;Pará;1507805;Senador José Porfírio
281;15;Pará;1507904;Soure
282;15;Pará;1507953;Tailândia
283;15;Pará;1507961;Terra Alta
284;15;Pará;1507979;Terra Santa
285;15;Pará;1508001;Tomé-Açu
286;15;Pará;1508035;Tracuateua
287;15;Pará;1508050;Trairão
288;15;Pará;1508084;Tucumã
289;15;Pará;1508100;Tucuruí
290;15;Pará;1508126;Ulianópolis
291;15;Pará;1508159;Uruará
292;15;Pará;1508209;Vigia
293;15;Pará;1508308;Viseu
294;15;Pará;1508357;Vitória do Xingu
295;15;Pará;1508407;Xinguara
296;16;Amapá;1600105;Amapá
297;16;Amapá;1600204;Calçoene
298;16;Amapá;1600212;Cutias
299;16;Amapá;1600238;Ferreira Gomes
300;16;Amapá;1600253;Itaubal
301;16;Amapá;1600279;Laranjal do Jari
302;16;Amapá;1600303;Macapá
303;16;Amapá;1600402;Mazagão
304;16;Amapá;1600501;Oiapoque
305;16;Amapá;1600154;Pedra Branca do Amapari
306;16;Amapá;1600535;Porto Grande
307;16;Amapá;1600550;Pracuúba
308;16;Amapá;1600600;Santana
309;16;Amapá;1600055;Serra do Navio
310;16;Amapá;1600709;Tartarugalzinho
311;16;Amapá;1600808;Vitória do Jari
312;17;Tocantins;1700251;Abreulândia
313;17;Tocantins;1700301;Aguiarnópolis
314;17;Tocantins;1700350;Aliança do Tocantins
315;17;Tocantins;1700400;Almas
316;17;Tocantins;1700707;Alvorada
317;17;Tocantins;1701002;Ananás
318;17;Tocantins;1701051;Angico
319;17;Tocantins;1701101;Aparecida do Rio Negro
320;17;Tocantins;1701309;Aragominas
321;17;Tocantins;1701903;Araguacema
322;17;Tocantins;1702000;Araguaçu
323;17;Tocantins;1702109;Araguaína
324;17;Tocantins;1702158;Araguanã
325;17;Tocantins;1702208;Araguatins
326;17;Tocantins;1702307;Arapoema
327;17;Tocantins;1702406;Arraias
328;17;Tocantins;1702554;Augustinópolis
329;17;Tocantins;1702703;Aurora do Tocantins
330;17;Tocantins;1702901;Axixá do Tocantins
331;17;Tocantins;1703008;Babaçulândia
332;17;Tocantins;1703057;Bandeirantes do Tocantins
333;17;Tocantins;1703073;Barra do Ouro
334;17;Tocantins;1703107;Barrolândia
335;17;Tocantins;1703206;Bernardo Sayão
336;17;Tocantins;1703305;Bom Jesus do Tocantins
337;17;Tocantins;1703602;Brasilândia do Tocantins
338;17;Tocantins;1703701;Brejinho de Nazaré
339;17;Tocantins;1703800;Buriti do Tocantins
340;17;Tocantins;1703826;Cachoeirinha
341;17;Tocantins;1703842;Campos Lindos
342;17;Tocantins;1703867;Cariri do Tocantins
343;17;Tocantins;1703883;Carmolândia
344;17;Tocantins;1703891;Carrasco Bonito
345;17;Tocantins;1703909;Caseara
346;17;Tocantins;1704105;Centenário
347;17;Tocantins;1705102;Chapada da Natividade
348;17;Tocantins;1704600;Chapada de Areia
349;17;Tocantins;1705508;Colinas do Tocantins
350;17;Tocantins;1716703;Colméia
351;17;Tocantins;1705557;Combinado
352;17;Tocantins;1705607;Conceição do Tocantins
353;17;Tocantins;1706001;Couto Magalhães
354;17;Tocantins;1706100;Cristalândia
355;17;Tocantins;1706258;Crixás do Tocantins
356;17;Tocantins;1706506;Darcinópolis
357;17;Tocantins;1707009;Dianópolis
358;17;Tocantins;1707108;Divinópolis do Tocantins
359;17;Tocantins;1707207;Dois Irmãos do Tocantins
360;17;Tocantins;1707306;Dueré
361;17;Tocantins;1707405;Esperantina
362;17;Tocantins;1707553;Fátima
363;17;Tocantins;1707652;Figueirópolis
364;17;Tocantins;1707702;Filadélfia
365;17;Tocantins;1708205;Formoso do Araguaia
366;17;Tocantins;1708304;Goianorte
367;17;Tocantins;1709005;Goiatins
368;17;Tocantins;1709302;Guaraí
369;17;Tocantins;1709500;Gurupi
370;17;Tocantins;1709807;Ipueiras
371;17;Tocantins;1710508;Itacajá
372;17;Tocantins;1710706;Itaguatins
373;17;Tocantins;1710904;Itapiratins
374;17;Tocantins;1711100;Itaporã do Tocantins
375;17;Tocantins;1711506;Jaú do Tocantins
376;17;Tocantins;1711803;Juarina
377;17;Tocantins;1711902;Lagoa da Confusão
378;17;Tocantins;1711951;Lagoa do Tocantins
379;17;Tocantins;1712009;Lajeado
380;17;Tocantins;1712157;Lavandeira
381;17;Tocantins;1712405;Lizarda
382;17;Tocantins;1712454;Luzinópolis
383;17;Tocantins;1712504;Marianópolis do Tocantins
384;17;Tocantins;1712702;Mateiros
385;17;Tocantins;1712801;Maurilândia do Tocantins
386;17;Tocantins;1713205;Miracema do Tocantins
387;17;Tocantins;1713304;Miranorte
388;17;Tocantins;1713601;Monte do Carmo
389;17;Tocantins;1713700;Monte Santo do Tocantins
390;17;Tocantins;1713957;Muricilândia
391;17;Tocantins;1714203;Natividade
392;17;Tocantins;1714302;Nazaré
393;17;Tocantins;1714880;Nova Olinda
394;17;Tocantins;1715002;Nova Rosalândia
395;17;Tocantins;1715101;Novo Acordo
396;17;Tocantins;1715150;Novo Alegre
397;17;Tocantins;1715259;Novo Jardim
398;17;Tocantins;1715507;Oliveira de Fátima
399;17;Tocantins;1721000;Palmas
400;17;Tocantins;1715705;Palmeirante
401;17;Tocantins;1713809;Palmeiras do Tocantins
402;17;Tocantins;1715754;Palmeirópolis
403;17;Tocantins;1716109;Paraíso do Tocantins
404;17;Tocantins;1716208;Paranã
405;17;Tocantins;1716307;Pau D'Arco
406;17;Tocantins;1716505;Pedro Afonso
407;17;Tocantins;1716604;Peixe
408;17;Tocantins;1716653;Pequizeiro
409;17;Tocantins;1717008;Pindorama do Tocantins
410;17;Tocantins;1717206;Piraquê
411;17;Tocantins;1717503;Pium
412;17;Tocantins;1717800;Ponte Alta do Bom Jesus
413;17;Tocantins;1717909;Ponte Alta do Tocantins
414;17;Tocantins;1718006;Porto Alegre do Tocantins
415;17;Tocantins;1718204;Porto Nacional
416;17;Tocantins;1718303;Praia Norte
417;17;Tocantins;1718402;Presidente Kennedy
418;17;Tocantins;1718451;Pugmil
419;17;Tocantins;1718501;Recursolândia
420;17;Tocantins;1718550;Riachinho
421;17;Tocantins;1718659;Rio da Conceição
422;17;Tocantins;1718709;Rio dos Bois
423;17;Tocantins;1718758;Rio Sono
424;17;Tocantins;1718808;Sampaio
425;17;Tocantins;1718840;Sandolândia
426;17;Tocantins;1718865;Santa Fé do Araguaia
427;17;Tocantins;1718881;Santa Maria do Tocantins
428;17;Tocantins;1718899;Santa Rita do Tocantins
429;17;Tocantins;1718907;Santa Rosa do Tocantins
430;17;Tocantins;1719004;Santa Tereza do Tocantins
431;17;Tocantins;1720002;Santa Terezinha do Tocantins
432;17;Tocantins;1720101;São Bento do Tocantins
433;17;Tocantins;1720150;São Félix do Tocantins
434;17;Tocantins;1720200;São Miguel do Tocantins
435;17;Tocantins;1720259;São Salvador do Tocantins
436;17;Tocantins;1720309;São Sebastião do Tocantins
437;17;Tocantins;1720499;São Valério
438;17;Tocantins;1720655;Silvanópolis
439;17;Tocantins;1720804;Sítio Novo do Tocantins
440;17;Tocantins;1720853;Sucupira
441;17;Tocantins;1708254;Tabocão
442;17;Tocantins;1720903;Taguatinga
443;17;Tocantins;1720937;Taipas do Tocantins
444;17;Tocantins;1720978;Talismã
445;17;Tocantins;1721109;Tocantínia
446;17;Tocantins;1721208;Tocantinópolis
447;17;Tocantins;1721257;Tupirama
448;17;Tocantins;1721307;Tupiratins
449;17;Tocantins;1722081;Wanderlândia
450;17;Tocantins;1722107;Xambioá
451;21;Maranhão;2100055;Açailândia
452;21;Maranhão;2100105;Afonso Cunha
453;21;Maranhão;2100154;Água Doce do Maranhão
454;21;Maranhão;2100204;Alcântara
455;21;Maranhão;2100303;Aldeias Altas
456;21;Maranhão;2100402;Altamira do Maranhão
457;21;Maranhão;2100436;Alto Alegre do Maranhão
458;21;Maranhão;2100477;Alto Alegre do Pindaré
459;21;Maranhão;2100501;Alto Parnaíba
460;21;Maranhão;2100550;Amapá do Maranhão
461;21;Maranhão;2100600;Amarante do Maranhão
462;21;Maranhão;2100709;Anajatuba
463;21;Maranhão;2100808;Anapurus
464;21;Maranhão;2100832;Apicum-Açu
465;21;Maranhão;2100873;Araguanã
466;21;Maranhão;2100907;Araioses
467;21;Maranhão;2100956;Arame
468;21;Maranhão;2101004;Arari
469;21;Maranhão;2101103;Axixá
470;21;Maranhão;2101202;Bacabal
471;21;Maranhão;2101251;Bacabeira
472;21;Maranhão;2101301;Bacuri
473;21;Maranhão;2101350;Bacurituba
474;21;Maranhão;2101400;Balsas
475;21;Maranhão;2101509;Barão de Grajaú
476;21;Maranhão;2101608;Barra do Corda
477;21;Maranhão;2101707;Barreirinhas
478;21;Maranhão;2101772;Bela Vista do Maranhão
479;21;Maranhão;2101731;Belágua
480;21;Maranhão;2101806;Benedito Leite
481;21;Maranhão;2101905;Bequimão
482;21;Maranhão;2101939;Bernardo do Mearim
483;21;Maranhão;2101970;Boa Vista do Gurupi
484;21;Maranhão;2102002;Bom Jardim
485;21;Maranhão;2102036;Bom Jesus das Selvas
486;21;Maranhão;2102077;Bom Lugar
487;21;Maranhão;2102101;Brejo
488;21;Maranhão;2102150;Brejo de Areia
489;21;Maranhão;2102200;Buriti
490;21;Maranhão;2102309;Buriti Bravo
491;21;Maranhão;2102325;Buriticupu
492;21;Maranhão;2102358;Buritirana
493;21;Maranhão;2102374;Cachoeira Grande
494;21;Maranhão;2102408;Cajapió
495;21;Maranhão;2102507;Cajari
496;21;Maranhão;2102556;Campestre do Maranhão
497;21;Maranhão;2102606;Cândido Mendes
498;21;Maranhão;2102705;Cantanhede
499;21;Maranhão;2102754;Capinzal do Norte
500;21;Maranhão;2102804;Carolina
501;21;Maranhão;2102903;Carutapera
502;21;Maranhão;2103000;Caxias
503;21;Maranhão;2103109;Cedral
504;21;Maranhão;2103125;Central do Maranhão
505;21;Maranhão;2103158;Centro do Guilherme
506;21;Maranhão;2103174;Centro Novo do Maranhão
507;21;Maranhão;2103208;Chapadinha
508;21;Maranhão;2103257;Cidelândia
509;21;Maranhão;2103307;Codó
510;21;Maranhão;2103406;Coelho Neto
511;21;Maranhão;2103505;Colinas
512;21;Maranhão;2103554;Conceição do Lago-Açu
513;21;Maranhão;2103604;Coroatá
514;21;Maranhão;2103703;Cururupu
515;21;Maranhão;2103752;Davinópolis
516;21;Maranhão;2103802;Dom Pedro
517;21;Maranhão;2103901;Duque Bacelar
518;21;Maranhão;2104008;Esperantinópolis
519;21;Maranhão;2104057;Estreito
520;21;Maranhão;2104073;Feira Nova do Maranhão
521;21;Maranhão;2104081;Fernando Falcão
522;21;Maranhão;2104099;Formosa da Serra Negra
523;21;Maranhão;2104107;Fortaleza dos Nogueiras
524;21;Maranhão;2104206;Fortuna
525;21;Maranhão;2104305;Godofredo Viana
526;21;Maranhão;2104404;Gonçalves Dias
527;21;Maranhão;2104503;Governador Archer
528;21;Maranhão;2104552;Governador Edison Lobão
529;21;Maranhão;2104602;Governador Eugênio Barros
530;21;Maranhão;2104628;Governador Luiz Rocha
531;21;Maranhão;2104651;Governador Newton Bello
532;21;Maranhão;2104677;Governador Nunes Freire
533;21;Maranhão;2104701;Graça Aranha
534;21;Maranhão;2104800;Grajaú
535;21;Maranhão;2104909;Guimarães
536;21;Maranhão;2105005;Humberto de Campos
537;21;Maranhão;2105104;Icatu
538;21;Maranhão;2105153;Igarapé do Meio
539;21;Maranhão;2105203;Igarapé Grande
540;21;Maranhão;2105302;Imperatriz
541;21;Maranhão;2105351;Itaipava do Grajaú
542;21;Maranhão;2105401;Itapecuru Mirim
543;21;Maranhão;2105427;Itinga do Maranhão
544;21;Maranhão;2105450;Jatobá
545;21;Maranhão;2105476;Jenipapo dos Vieiras
546;21;Maranhão;2105500;João Lisboa
547;21;Maranhão;2105609;Joselândia
548;21;Maranhão;2105658;Junco do Maranhão
549;21;Maranhão;2105708;Lago da Pedra
550;21;Maranhão;2105807;Lago do Junco
551;21;Maranhão;2105948;Lago dos Rodrigues
552;21;Maranhão;2105906;Lago Verde
553;21;Maranhão;2105922;Lagoa do Mato
554;21;Maranhão;2105963;Lagoa Grande do Maranhão
555;21;Maranhão;2105989;Lajeado Novo
556;21;Maranhão;2106003;Lima Campos
557;21;Maranhão;2106102;Loreto
558;21;Maranhão;2106201;Luís Domingues
